Count,Specimen_name,Species_ID,Replicates_total,Replicates_endosseous,Tree_names,Tree_node_number,Ear_type,Specimen_type,Suborder,Family,Subfamily,Plotting_group,Plotting_habitat,Habitual_habitat,Habitat_general,Fossil_marine,Forelimb,Forelimb1,Forelimb2,Forelimb3,Forelimb4,Forelimb5,Forelimb6,Skull_length_mm,Skull_width_mm,Skull_height_mm,logV_mm3,Carapax_neck_ratio,Neck_length_categorical,Retraction_type,Retratction_ability
87,Heosemys_annandalii_FMNH260389_left,Heosemys_annandalii,1,1,Heosemys_annandalii,28,endosseous,extant,Cryptodira,Testudinoidea,Geomydidae:Geomydinae,Geoemydidae,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,54.57,41.29,17.4,4.5933,47.79,intermediate,vertical,full
88,Homopus_areolatus_OUMNH9403_left,Homopus_areolatus,1,1,Homopus_areolatus,47,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,21.78,15.09,9.03,3.4724,41.75,intermediate,vertical,full
89,Hydromedusa_tectifera_SMF70500_right,Hydromedusa_tectifera,1,1,Hydromedusa_tectifera,112,endosseous,extant,Pleurodira,Chelidae,Hydromedusinae,Chelidae,freshwater,open_water_swimming,freshwater,NA,extensive - 3,3,3,2,2,1,1,46.12,28,9.2,4.0748,65.29,long,sideways,full
90,Indotestudo_elongata_SMF71585_left,Indotestudo_elongata,1,1,Indotestudo_elongata,40,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,51.49,39.22,15.12,4.4848,NA,NA,vertical,full
91,Indotestudo_forstenii_SMF73257_left,Indotestudo_forstenii,1,1,Indotestudo_forstenii,39,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,33.85,28.09,12.18,4.0638,NA,NA,vertical,full
92,Jurassichelon_oleronensis_PIMUZAIII514_right,Jurassichelon_oleronensis,1,1,Jurassichelon_oleronensis,20,endosseous,fossil,Stem,Angolachelonia,Plesiochelyidae,Angolachelonia,marine,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,48.3,41,15,4.4728,NA,NA,none,incomplete
93,Kallokibotion_bajazidi_NHMUK4925_right,Kallokibotion_bajazidi,1,1,Kallokibotion_bajazidi,9,endosseous,fossil,Stem,NA,NA,Perichelydia,freshwater,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,37,35,23,4.474,NA,NA,none,incomplete
94,Kayentachelys_aprix_TMM43670-2_left,Kayentachelys_aprix,1,1,Kayentachelys_aprix,3,endosseous,fossil,Stem,NA,NA,early-diverging,terrestrial,NA,NA,no,NA,NA,NA,NA,NA,NA,NA,58.5,57.5,20.2,4.8322,NA,NA,none,incomplete
95,Kinixys_erosa_SMF40166_left,Kinixys_erosa,1,1,Kinixys_erosa,44,endosseous,extant,Cryptodira,Testudinoidea,Testudinidae,Testudinidae,terrestrial,terrestrial_walking,terrestrial,NA,not webbed - 0,0,0,0,0,0,0,46.08,30.08,13.34,4.2669,54.25,long,vertical,full
96,Kinosternon_baurii_FMNH211705_left,Kinosternon_baurii,1,1,Kinosternon_baurii,94,endosseous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Kinosterninae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,24.28,17.24,9.79,3.6126,57.09,long,vertical,full
97,Kinosternon_hirtipes_magdalense_UFH45035_left,Kinosternon_hirtipes,1,1,Kinosternon_hirtipes,96,endosseous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Kinosterninae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,27.23,21.75,9.13,3.733,67.23,long,vertical,full
98,Kinosternon_scorpioides_SMF71893_left,Kinosternon_scorpioides,1,1,Kinosternon_scorpioides,95,endosseous,extant,Cryptodira,Kinosternoidea,Kinosternidae:Kinosterninae,Kinosternoidea,freshwater,bottom_dwelling,freshwater,NA,extensive - 2,2,2,1,1,1,0,29.25,23.45,11.61,3.9011,NA,long,vertical,full
